# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
biao ji 	標記	c=2 d=0.701173 t=5015
biao li 	表裏	c=0 d=0.000726273 t=5015
biao ming 	表名	c=9 d=1.05381 t=5015
biao qian 	標籤	c=4 d=1.07677 t=5015
biao qian biao da shi 	標籤表達式	c=1 d=0.0845849 t=5015
biao qian ye 	標籤頁	c=1 d=0.562705 t=5015
biao shi 	表示	c=2 d=0.198789 t=5015
biao shi can shu 	表示參數	c=1 d=0.025223 t=5015
biao shi wu kong zhi quan 	表事物控制權	c=1 d=0.479505 t=5015
biao shi yong hu ming ke yi shi yong 	表示用戶名可以使用	c=1 d=0.189191 t=5015
biao suo 	表鎖	c=1 d=0.102284 t=5015
biao ti 	標題	c=1 d=0.937067 t=5015
biao xian 	表現	c=0 d=0.0540641 t=5015
biao xian ceng 	表現層	c=1 d=0.543351 t=5015
biao zhong 	表中	c=3 d=0.157633 t=5015
biao zhu 	標註	c=1 d=0.0409665 t=5015
bie de 	別的	c=1 d=0.0686121 t=5015
bie ming 	別名	c=7 d=0.722644 t=5015
bie ren 	別人	c=1 d=0.0575558 t=5015
bing 	並	c=4 d=0.32359 t=5015
bing fa 	併發	c=1 d=0.0655462 t=5015
bing fang zai 	並放在	c=1 d=0.12307 t=5015
bing jiang 	並將	c=1 d=0.00900478 t=5015
bo 	亳	c=0 d=0.0279431 t=5015
bu 	不	c=4 d=1.41138 t=5015
bu 	步	c=1 d=0.117655 t=5015
bu 	部	c=2 d=0.634448 t=5015
bu an quan 	不安全	c=0 d=0.00437178 t=5015
bu cha 	不查	c=1 d=0.161218 t=5015
bu chu yu 	不處於	c=1 d=0.900325 t=5015
bu chuang jian 	不創建	c=1 d=0.0238732 t=5015
bu cun zai 	不存在	c=3 d=0.0975132 t=5015
bu cun zai wai jian 	不存在外鍵	c=1 d=0.00644146 t=5015
bu cun zai zhi jie chuang jian 	不存在直接創建	c=1 d=0.0284388 t=5015
bu dao 	不到	c=0 d=0.0117068 t=5015
bu duan 	不斷	c=0 d=0.0771052 t=5015
bu fa song 	不發送	c=1 d=0.183599 t=5015
bu fan zhuan 	不反轉	c=2 d=1.01863 t=5015
bu fen 	部分	c=0 d=0.0199888 t=5015
bu fen nei rong 	部分內容	c=0 d=0.0344728 t=5015
bu fen nei rong bu yu xian shi 	部分內容不予顯示	c=2 d=0.346456 t=5015
bu fu he 	不符合	c=1 d=0.181772 t=5015
bu fu he san fan shi 	不符合三範式	c=1 d=0.0135686 t=5015
bu gao 	不高	c=0 d=0.00109436 t=5015
bu gou 	不夠	c=0 d=0.0640824 t=5015
bu gou ling huo 	不夠靈活	c=1 d=0.644036 t=5015
bu guo 	不過	c=0 d=0.00154523 t=5015
bu guo xian zai 	不過現在	c=1 d=0.0155297 t=5015
bu hao 	不好	c=0 d=0.00706512 t=5015
bu he li 	不合理	c=0 d=0.00134335 t=5015
bu hui 	不會	c=1 d=0.152935 t=5015
bu hui bao cuo 	不回報錯	c=1 d=0.600496 t=5015
bu hui gun 	不回滾	c=1 d=0.0107807 t=5015
bu hui jie 	不會劫	c=1 d=0.375311 t=5015
bu hui tian shi 	不會天使	c=1 d=0.268474 t=5015
bu ji lian cao zuo 	不級聯操作	c=1 d=0.694197 t=5015
bu jian yi shi yong 	不建議使用	c=2 d=0.066205 t=5015
bu jin xing ren he dong zuo 	不進行任何動作	c=1 d=0.183599 t=5015
bu ke 	不可	c=0 d=0.0979307 t=5015
bu ke chong fu 	不可重複	c=1 d=0.400517 t=5015
bu ke shi yong 	不可使用	c=1 d=0.186374 t=5015
bu ke wei kong 	不可爲空	c=1 d=0.932394 t=5015
bu liao 	不了	c=0 d=0.0122456 t=5015
bu men 	部門	c=8 d=1.7446 t=5015
bu men biao 	部門表	c=4 d=1.04435 t=5015
bu men shu xing 	部門屬性	c=1 d=0.218712 t=5015
bu men wei hu yuan gong 	部門維護員工	c=1 d=0.276651 t=5015
bu men xia 	部門下	c=1 d=0.0383884 t=5015
bu neng 	不能	c=5 d=0.343511 t=5015
bu neng chong fu 	不能重複	c=1 d=0.189191 t=5015
bu neng jia zai 	不能加載	c=1 d=0.154896 t=5015
bu neng jie chu guan xi 	不能解除關係	c=1 d=0.597501 t=5015
bu neng wei kong 	不能爲空	c=2 d=0.113095 t=5015
bu neng zhi jie 	不能直接	c=1 d=0.0086517 t=5015
bu pian yi 	不偏移	c=1 d=0.0192547 t=5015
bu qu 	不去	c=1 d=0.156453 t=5015
bu sheng cheng 	不生成	c=1 d=0.0137049 t=5015
bu shi 	不是	c=1 d=0.124076 t=5015
bu shi meng 	不是夢	c=1 d=0.88692 t=5015
bu shi yong 	不適用	c=2 d=0.434321 t=5015
bu shu 	部署	c=0 d=0.0280832 t=5015
bu shu shang xian 	部署上線	c=1 d=0.118837 t=5015
bu tai 	不太	c=0 d=0.0755784 t=5015
bu tai chang yong 	不太常用	c=1 d=0.759572 t=5015
bu tai hui 	不太會	c=1 d=0.895834 t=5015
bu tong 	不同	c=2 d=0.188872 t=5015
bu tong de ming zi dui ying 	不同的名字對應	c=1 d=0.32628 t=5015
bu tong de shu ru fa 	不同的輸入法	c=1 d=0.927743 t=5015
bu tong guo 	不通過	c=1 d=1.54255e-11 t=5015
bu wan 	不玩	c=0 d=0.0062662 t=5015
bu wan le 	不玩了	c=1 d=0.0629761 t=5015
