# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
ai le ai le 	愛了愛了	c=1 d=3.91614e-60 t=131593
ai li 	愛裏	c=1 d=1.48561e-186 t=131593
ai ni 	愛你	c=5 d=0.1 t=172534
ai ni wei ya 	艾尼維亞	c=1 d=5.57544e-69 t=131593
ai qi yi 	愛奇異	c=2 d=4.40156e-113 t=131593
ai qi yi 	愛奇藝	c=2 d=3.31369e-36 t=131593
ai qin 	愛琴	c=0 d=1.70803e-05 t=173558
ai qing 	愛情	c=0 d=0.000381295 t=173558
ai qing gong yu 	愛情公寓	c=3 d=0.00192082 t=173558
ai re 	艾熱	c=2 d=0.996494 t=173558
ai ren 	愛人	c=1 d=1 t=161306
ai ru chao shui 	愛如潮水	c=4 d=9.49828e-10 t=131593
ai shu 	愛書	c=0 d=0.00490164 t=173558
ai shu da 	愛書打	c=2 d=0.0490458 t=173558
ai shu da de 	愛書打的	c=2 d=1 t=167973
ai shu da shou dao 	愛書打收到	c=5 d=0.156453 t=173558
ai shu da shou dao de 	愛書打收到的	c=1 d=6.86197e-188 t=131593
ai shu da song da shi fou 	愛書打送達是否	c=1 d=1 t=148165
ai si 	艾斯	c=2 d=1.59452 t=140465
ai ting 	愛聽	c=1 d=3.72843e-194 t=131593
ai ting ba 	愛聽吧	c=1 d=4.46607e-194 t=131593
ai xi 	艾希	c=2 d=1.97617e-43 t=131593
ai ya 	哎呀	c=6 d=4.94529e-11 t=173558
ai yi 	愛意	c=1 d=1 t=152525
ai yong 	愛用	c=1 d=1 t=170725
ai you 	哎呦	c=1 d=1 t=162683
ai zhao wo 	愛找我	c=1 d=2.98127e-57 t=131593
ai zi 	艾滋	c=1 d=2.85513e-19 t=173558
an 	俺	c=2 d=7.66396e-47 t=131593
an 	安	c=3 d=0.0608678 t=173558
an 	按	c=17 d=1.66803 t=173558
an 	案	c=1 d=1 t=135565
an 	黯	c=0 d=5.57544e-70 t=131593
an bao zhang xiao lv 	按保障效率	c=1 d=3.05997e-40 t=131593
an biao lie chu 	按表列出	c=1 d=1.85723e-48 t=131593
an chang zhan fen zu 	按場站分組	c=1 d=1.55239e-27 t=131593
an da shi 	安達市	c=1 d=1 t=167974
an dao li 	按道理	c=1 d=1.09962e-29 t=173558
an di 	案底	c=1 d=3.976e-62 t=131593
an ding men 	安定門	c=1 d=0.000558643 t=173558
an fa 	案發	c=0 d=0.1 t=133478
an fa shi fou 	案發是否	c=1 d=1 t=133479
an fang 	安防	c=10 d=0.724781 t=173558
an fang guan li 	安防管理	c=8 d=0.151404 t=173558
an fang jian kong 	安防監控	c=1 d=0.00147367 t=173558
an fang shi pin guan li 	安防視頻管理	c=1 d=4.33565e-22 t=173558
an fang zhu ti 	安防主題	c=1 d=0.194952 t=173558
an fang zu 	按房租	c=1 d=1.29799e-39 t=173558
an fang zu zhi 	安防組織	c=30 d=1.33137 t=173558
an fang zu zhi huo zhe 	安防組織或者	c=1 d=2.04203e-17 t=173558
an fang zu zhi zhu jian 	安防組織主鍵	c=1 d=0.198891 t=173558
an gong shi 	按公式	c=1 d=5.33028e-40 t=131593
an hao 	安好	c=1 d=2.05297e-21 t=173558
an hei 	暗黑	c=1 d=2.32587e-195 t=131593
an ji neng 	按技能	c=1 d=1.40955e-09 t=173558
an jian 	按鍵	c=0 d=0.0494109 t=173558
an jing 	安靜	c=9 d=0.635225 t=173558
an jing chang ge 	安靜唱歌	c=1 d=1.97176e-193 t=131593
an jing de dao cao ren 	安靜的稻草人	c=1 d=0.58567 t=173558
an jing feng huang 	黯晶鳳凰	c=1 d=5.60339e-69 t=131593
an ju 	安居	c=0 d=9.78001e-05 t=173558
an ju bao 	安居寶	c=1 d=0.000982903 t=173558
an kang 	安康	c=3 d=1 t=134695
an li 	按理	c=1 d=5.21923e-57 t=131593
an lian 	暗戀	c=1 d=0.000181365 t=173558
an liu 	暗流	c=1 d=0.00588705 t=173558
an ni 	安妮	c=2 d=8.86109e-49 t=173558
an niu 	按鈕	c=226 d=3.42272 t=173558
an niu cha jian 	按鈕插件	c=1 d=2.87344e-06 t=173558
an niu chu li 	按鈕處理	c=1 d=5.89307e-15 t=131593
an niu de 	按鈕的	c=2 d=0.66365 t=173558
an niu hou 	按鈕後	c=1 d=1.33939e-26 t=173558
an niu qu diao 	按鈕去掉	c=1 d=5.27707e-69 t=131593
an niu qu yu 	按鈕區域	c=1 d=1 t=134853
an niu shi 	按鈕時	c=1 d=0.474734 t=173558
an niu shu zu 	按鈕數組	c=1 d=2.7347e-12 t=131593
an niu shuo ming 	按鈕說明	c=2 d=1.61856e-39 t=131593
an pai 	安排	c=9 d=0.00192083 t=173558
an pai che 	安排車	c=1 d=8.6423e-49 t=131593
an pai de 	安排的	c=2 d=1.87857e-06 t=173558
an pai jia ban 	安排加班	c=1 d=1 t=166017
an pai ren 	安排人	c=1 d=3.41821e-19 t=173558
an pai shang 	安排上	c=1 d=1.29266e-20 t=173558
an pai yi xie 	安排一些	c=1 d=1 t=172145
an qi 	安琪	c=1 d=1.02954e-19 t=173558
an quan 	安全	c=18 d=0.737123 t=173558
an quan bu 	安全部	c=2 d=4.22869e-25 t=173558
an quan cuo shi 	安全措施	c=1 d=3.38466e-51 t=173558
an quan fa 	安全閥	c=2 d=6.89266e-20 t=173558
an quan gan 	安全感	c=0 d=0.1 t=137459
an quan guan li 	安全管理	c=1 d=4.92565e-23 t=173558
an quan ma 	安全嗎	c=1 d=0.794534 t=131593
an quan mo shi 	安全模式	c=1 d=0.436049 t=173558
an quan rong ji 	安全容積	c=2 d=5.04602e-05 t=173558
an quan rong liang 	安全容量	c=1 d=1.52642e-05 t=173558
an quan sou suo 	安全搜索	c=2 d=0.00257517 t=173558
an quan wen ti 	安全問題	c=2 d=0.00914087 t=173558
an quan wu 	安全屋	c=1 d=0.000126534 t=173558
an quan xing 	安全性	c=6 d=0.0452003 t=173558
an quan yin huan 	安全隱患	c=1 d=1 t=153826
an quan zhong xin 	安全中心	c=2 d=1.21908e-07 t=173558
an rui te 	安瑞特	c=1 d=0.00104368 t=173558
an sha 	暗殺	c=0 d=5.6307e-39 t=131593
an sha xing 	暗殺星	c=1 d=5.65893e-38 t=131593
an shi 	按時	c=15 d=0.0351079 t=173558
an shi 	暗示	c=1 d=3.08809e-30 t=131593
an shi feng deng 	暗室逢燈	c=1 d=0.00279479 t=173558
an shi feng deng shi gong fen 	暗室逢燈十公分	c=1 d=1 t=137032
an shi jian 	按時間	c=1 d=5.99761e-16 t=173558
an shi wan cheng ren wu 	按時完成任務	c=1 d=0.00282287 t=173558
an tian 	按天	c=1 d=1.52585e-30 t=131593
an wei 	安慰	c=1 d=1.96853e-115 t=131593
an xing 	暗星	c=1 d=7.93832e-20 t=131593
an yi 	安逸	c=1 d=2.97579e-06 t=173558
an ying 	暗影	c=1 d=1.17651e-30 t=173558
an zhao 	按照	c=155 d=1.21154 t=173558
an zhao chuan gan qi 	按照傳感器	c=1 d=0.0665368 t=173558
an zhao fei yong 	按照費用	c=1 d=2.72477e-28 t=173558
